date,amount,vendor,account
11/1/2009,115.48,Albert Albuqurque,Advertising
11/4/2009,116.28,Boris Becker,Utilities
11/5/2009,116.04,Albert Albuqurque,Advertising
3/6/2009,116.44,Dilma Roussef,Telephone
7/7/2009,119.78,Boris Becker,Utilities
11/8/2009,117.62,Catherine Douglas,Rent
1/11/2009,189.26,Elizabeth Taylor,Payroll
11/12/2009,120.39,Albert Albuqurque,Advertising
06/13/2009,121.82,Catherine Douglas,Rent
11/1/2009,115.48,Albert Albuqurque,Advertising
11/4/2009,116.28,Boris Becker,Utilities
11/5/2009,116.04,Albert Albuqurque,Advertising
3/6/2009,116.44,Dilma Roussef,Telephone
7/7/2009,119.78,Boris Becker,Utilities
11/8/2009,117.62,Catherine Douglas,Rent
1/11/2009,189.26,Elizabeth Taylor,Payroll
11/12/2009,120.39,Albert Albuqurque,Advertising
06/13/2009,121.82,Catherine Douglas,Rent
08/13/2009,121.82,Catherine Douglas,Rent
09/13/2009,121.82,Catherine Douglas,Rent
10/13/2009,121.82,Catherine Douglas,Rent
08/13/2009,121.82,Catherine Douglas,Rent
09/13/2009,121.82,Catherine Douglas,Rent
10/13/2009,121.82,Catherine Douglas,Rent
08/13/2009,121.82,Catherine Douglas,Rent
09/13/2009,121.82,Catherine Douglas,Rent
10/13/2009,121.82,Catherine Douglas,Rent
08/13/2009,121.82,Catherine Douglas,Rent
09/13/2009,121.82,Catherine Douglas,Rent
10/13/2009,121.82,Catherine Douglas,Rent
08/13/2009,121.82,Catherine Douglas,Rent
09/13/2009,121.82,Catherine Douglas,Rent
10/13/2009,121.82,Catherine Douglas,Rent
08/13/2009,121.82,Catherine Douglas,Rent
09/13/2009,121.82,Catherine Douglas,Rent
10/13/2009,121.82,Catherine Douglas,Rent
08/13/2009,121.82,Catherine Douglas,Rent
09/13/2009,121.82,Catherine Douglas,Rent
10/13/2009,121.82,Catherine Douglas,Rent
08/13/2009,121.82,Catherine Douglas,Rent
09/13/2009,121.82,Catherine Douglas,Rent
10/13/2009,121.82,Catherine Douglas,Rent
08/13/2009,121.82,Catherine Douglas,Rent
09/13/2009,121.82,Catherine Douglas,Rent
10/13/2009,121.82,Catherine Douglas,Rent
08/13/2009,121.82,Catherine Douglas,Rent
09/13/2009,121.82,Catherine Douglas,Rent
10/13/2009,121.82,Catherine Douglas,Rent
08/13/2009,121.82,Catherine Douglas,Rent
09/13/2009,121.82,Catherine Douglas,Rent
10/13/2009,121.82,Catherine Douglas,Rent
08/13/2009,121.82,Catherine Douglas,Rent
09/13/2009,121.82,Catherine Douglas,Rent
10/13/2009,121.82,Catherine Douglas,Rent
08/13/2009,121.82,Catherine Douglas,Rent
09/13/2009,121.82,Catherine Douglas,Rent
10/13/2009,121.82,Catherine Douglas,Rent
08/13/2009,121.82,Catherine Douglas,Rent
09/13/2009,121.82,Catherine Douglas,Rent
10/13/2009,121.82,Catherine Douglas,Rent
11/1/2009,115.48,Albert Albuqurque,Advertising
11/4/2009,116.28,Boris Becker,Utilities
11/5/2009,116.04,Albert Albuqurque,Advertising
3/6/2009,116.44,Dilma Roussef,Telephone
7/7/2009,119.78,Boris Becker,Utilities
11/8/2009,117.62,Catherine Douglas,Rent
1/11/2009,189.26,Elizabeth Taylor,Payroll
11/12/2009,120.39,Albert Albuqurque,Advertising
06/13/2009,121.82,Catherine Douglas,Rent
11/1/2009,115.48,Albert Albuqurque,Advertising
11/4/2009,116.28,Boris Becker,Utilities
11/5/2009,116.04,Albert Albuqurque,Advertising
3/6/2009,116.44,Dilma Roussef,Telephone
