date,amount,customer,account,number
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,1
11/4/2009,116.28,Boris Becker,Accounts Receivable,2
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,3
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,4
7/7/2009,119.78,Boris Becker,Accounts Receivable,5
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,6
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,7
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,8
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,9
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,10
11/4/2009,116.28,Boris Becker,Accounts Receivable,11
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,12
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,13
7/7/2009,119.78,Boris Becker,Accounts Receivable,14
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,15
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,16
11/12/2009,120.39,Albert Albuqurque,Accounts Receivable,17
6/13/2009,121.82,Catherine Douglas,Accounts Receivable,18
8/13/2009,121.82,Catherine Douglas,Accounts Receivable,19
9/13/2009,121.82,Catherine Douglas,Accounts Receivable,20
10/13/2009,121.82,Catherine Douglas,Accounts Receivable,21
8/13/2009,121.82,Catherine Douglas,Accounts Receivable,22
9/13/2009,121.82,Catherine Douglas,Accounts Receivable,23
10/13/2009,121.82,Catherine Douglas,Accounts Receivable,24
8/13/2009,121.82,Catherine Douglas,Accounts Receivable,25
9/13/2009,121.82,Catherine Douglas,Accounts Receivable,26
10/13/2009,121.82,Catherine Douglas,Accounts Receivable,27
8/13/2009,121.82,Catherine Douglas,Accounts Receivable,28
9/13/2009,121.82,Catherine Douglas,Accounts Receivable,29
10/13/2009,121.82,Catherine Douglas,Accounts Receivable,30
8/13/2009,121.82,Catherine Douglas,Accounts Receivable,31
9/13/2009,121.82,Catherine Douglas,Accounts Receivable,32
10/13/2009,121.82,Catherine Douglas,Accounts Receivable,33
8/13/2009,121.82,Catherine Douglas,Accounts Receivable,34
9/13/2009,121.82,Catherine Douglas,Accounts Receivable,35
10/13/2009,121.82,Catherine Douglas,Accounts Receivable,36
8/13/2009,121.82,Catherine Douglas,Accounts Receivable,37
9/13/2009,121.82,Catherine Douglas,Accounts Receivable,38
10/13/2009,121.82,Catherine Douglas,Accounts Receivable,39
8/13/2009,121.82,Catherine Douglas,Accounts Receivable,40
9/13/2009,121.82,Catherine Douglas,Accounts Receivable,41
10/13/2009,121.82,Catherine Douglas,Accounts Receivable,42
8/13/2009,121.82,Catherine Douglas,Accounts Receivable,43
9/13/2009,121.82,Catherine Douglas,Accounts Receivable,44
10/13/2009,121.82,Catherine Douglas,Accounts Receivable,45
8/13/2009,121.82,Catherine Douglas,Accounts Receivable,46
9/13/2009,121.82,Catherine Douglas,Accounts Receivable,47
10/13/2009,121.82,Catherine Douglas,Accounts Receivable,48
8/13/2009,121.82,Catherine Douglas,Accounts Receivable,49
9/13/2009,121.82,Catherine Douglas,Accounts Receivable,50
10/13/2009,121.82,Catherine Douglas,Accounts Receivable,51
8/13/2009,121.82,Catherine Douglas,Accounts Receivable,52
9/13/2009,121.82,Catherine Douglas,Accounts Receivable,53
10/13/2009,121.82,Catherine Douglas,Accounts Receivable,54
8/13/2009,121.82,Catherine Douglas,Accounts Receivable,55
9/13/2009,121.82,Catherine Douglas,Accounts Receivable,56
10/13/2009,121.82,Catherine Douglas,Accounts Receivable,57
8/13/2009,121.82,Catherine Douglas,Accounts Receivable,58
9/13/2009,121.82,Catherine Douglas,Accounts Receivable,59
10/13/2009,121.82,Catherine Douglas,Accounts Receivable,60
11/1/2009,115.48,Albert Albuqurque,Accounts Receivable,61
11/4/2009,116.28,Boris Becker,Accounts Receivable,62
11/5/2009,116.04,Albert Albuqurque,Accounts Receivable,63
3/6/2009,116.44,Dilma Roussef,Accounts Receivable,64
7/7/2009,119.78,Boris Becker,Accounts Receivable,65
11/8/2009,117.62,Catherine Douglas,Accounts Receivable,66
1/11/2009,189.26,Elizabeth Taylor,Accounts Receivable,67
