date,amount,customer,method,number,days
10/5/2009,150,Kristy Abercrombie,Check,10,10
11/5/2009,150,Kristy Abercrombie,Check,10,10
12/5/2009,150,Kristy Abercrombie,Check,10,10
10/5/2009,170,Bill Gates,VISA,10,10
12/5/2009,150,Bill Gates,VISA,10,10
11/5/2009,350,Bill Gates,VISA,10,10
12/5/2009,150,Bill Gates,VISA,10,10
10/5/2009,850,Bill Gates,VISA,10,10
9/5/2009,150,Bill Gates,VISA,10,10
10/5/2010,150,Kristy Abercrombie,Check,10,10
11/5/2010,150,Kristy Abercrombie,Check,10,10
12/5/2010,150,Kristy Abercrombie,Check,10,10
10/5/2010,170,Bill Gates,VISA,10,10
12/5/2010,150,Bill Gates,VISA,10,10
11/5/2010,350,Bill Gates,VISA,10,10
12/5/2010,150,Bill Gates,VISA,10,10
10/5/2010,850,Bill Gates,VISA,10,10
9/5/2010,150,Bill Gates,VISA,10,10
10/5/2010,150,Kristy Abercrombie,Check,10,10
11/5/2010,150,Kristy Abercrombie,Check,10,10
12/5/2010,150,Kristy Abercrombie,Check,10,10
10/5/2010,170,Bill Gates,VISA,10,10
12/5/2010,150,Bill Gates,VISA,10,10
11/5/2010,70,Bill Gates,Square,10,10
12/5/2010,150,Bill Gates,VISA,10,10
10/5/2010,850,Bill Gates,VISA,10,10
9/5/2010,70,Bill Gates,Square,10,10
10/5/2009,150,GB Shaw,Check,10,10
11/5/2009,150,GB Shaw,Check,10,10
12/5/2009,150,GB Shaw,Check,10,10
10/5/2009,170,Abe Lincoln,VISA,10,10
12/5/2009,150,Abe Lincoln,VISA,10,10
11/5/2009,350,Abe Lincoln,VISA,10,10
12/5/2009,150,Abe Lincoln,VISA,10,10
10/5/2009,850,Abe Lincoln,VISA,10,10
9/5/2009,150,Abe Lincoln,VISA,10,10
10/5/2010,150,GB Shaw,Check,10,10
11/5/2010,10,GB Shaw,Square,10,10
12/5/2010,10,GB Shaw,Square,10,10
10/5/2010,170,Abe Lincoln,VISA,10,10
12/5/2010,150,Abe Lincoln,VISA,10,10
11/5/2010,350,Abe Lincoln,VISA,10,10
12/5/2010,150,Abe Lincoln,VISA,10,10
10/5/2010,850,Bill Gates,VISA,10,10
9/5/2010,150,Bill Gates,VISA,10,10
10/5/2010,70,GB Shaw,Square,10,10
11/5/2010,70,GB Shaw,Square,10,10
12/5/2010,70,GB Shaw,Square,10,10
10/5/2010,170,Bill Gates,VISA,10,10
12/5/2010,150,Bill Gates,VISA,10,10
11/5/2010,350,Bill Gates,VISA,10,10
12/5/2010,150,Bill Gates,VISA,10,10
10/5/2010,850,Bill Gates,VISA,10,10
9/5/2010,150,Bill Gates,VISA,10,10
